Year,heating,cooling & ventilation,envelope,lighting,appliances,other
electricity (BTU),3.4989E+12,8.9698E+12,0.0000E+00,2.1838E+12,3.1428E+13,3.6370E+13
coal (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.3641E+11,0.0000E+00
natural gas (BTU),1.3535E+12,0.0000E+00,0.0000E+00,0.0000E+00,4.5649E+13,0.0000E+00
petroleum diesel (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1128E+11,0.0000E+00
heat (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
biomass (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
kerosene (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
heavy or residual fuel oil (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.2726E+12,0.0000E+00
LPG propane or butane (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.0945E+12,0.0000E+00
hydrogen (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
