,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity (BTU),2.50E+12,2.50E+12,2.48E+12,2.45E+12,2.42E+12,2.38E+12,2.35E+12,2.27E+12,2.23E+12,2.19E+12,2.15E+12,2.11E+12,2.06E+12,2.02E+12,1.98E+12,1.94E+12,1.89E+12,1.85E+12,1.81E+12,1.77E+12,1.72E+12,1.68E+12,1.64E+12,1.59E+12,1.55E+12,1.51E+12,1.47E+12,1.42E+12,1.38E+12,1.34E+12,1.29E+12,1.25E+12,1.21E+12,1.17E+12,1.12E+12,1.08E+12,1.04E+12,9.91E+11,9.47E+11,9.02E+11,8.56E+11,8.09E+11
coal (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
natural gas (BTU),3.04E+13,3.04E+13,3.01E+13,2.98E+13,2.95E+13,2.91E+13,2.88E+13,2.79E+13,2.75E+13,2.70E+13,2.66E+13,2.61E+13,2.57E+13,2.52E+13,2.48E+13,2.43E+13,2.38E+13,2.34E+13,2.29E+13,2.24E+13,2.20E+13,2.15E+13,2.10E+13,2.06E+13,2.01E+13,1.96E+13,1.92E+13,1.87E+13,1.82E+13,1.78E+13,1.73E+13,1.69E+13,1.64E+13,1.59E+13,1.54E+13,1.50E+13,1.45E+13,1.40E+13,1.35E+13,1.30E+13,1.25E+13,1.20E+13
petroleum diesel (BTU),6.33E+13,6.33E+13,6.27E+13,6.21E+13,6.14E+13,6.07E+13,6.00E+13,5.81E+13,5.72E+13,5.63E+13,5.54E+13,5.44E+13,5.35E+13,5.25E+13,5.16E+13,5.06E+13,4.97E+13,4.87E+13,4.77E+13,4.67E+13,4.58E+13,4.48E+13,4.38E+13,4.28E+13,4.19E+13,4.09E+13,3.99E+13,3.90E+13,3.80E+13,3.70E+13,3.61E+13,3.51E+13,3.41E+13,3.31E+13,3.22E+13,3.12E+13,3.02E+13,2.92E+13,2.82E+13,2.71E+13,2.61E+13,2.50E+13
heat (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
biomass (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
kerosene (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heavy or residual fuel oil (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
LPG propane or butane (BTU),6.53E+12,6.53E+12,6.46E+12,6.40E+12,6.33E+12,6.25E+12,6.18E+12,5.98E+12,5.89E+12,5.80E+12,5.71E+12,5.61E+12,5.51E+12,5.41E+12,5.32E+12,5.22E+12,5.12E+12,5.02E+12,4.92E+12,4.82E+12,4.72E+12,4.62E+12,4.51E+12,4.41E+12,4.31E+12,4.21E+12,4.11E+12,4.01E+12,3.92E+12,3.82E+12,3.72E+12,3.62E+12,3.52E+12,3.42E+12,3.31E+12,3.21E+12,3.11E+12,3.01E+12,2.90E+12,2.80E+12,2.69E+12,2.58E+12
hydrogen(BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
